1155225,3003128516,"Millstone Medical Outsourcing, LLC",10/22/2021,Devices,21 CFR 820.100(a),Lack of or inadequate procedures,Procedures for corrective and preventive action have not been adequately established.
1127641,1219963,Twincraft Inc.,08/25/2020,Drugs,21 CFR 211.101(a),Batches Formulated to less than 100%,Written production and control procedures  include batches formulated with the intent to provide less than  100 percent of the labeled or established amount of active ingredient.
1127641,1219963,Twincraft Inc.,08/25/2020,Drugs,21 CFR 211.113(a),Procedures for non-sterile drug products,Procedures designed to prevent objectionable microorganisms in drug products not required to be sterile are not established.
1127641,1219963,Twincraft Inc.,08/25/2020,Drugs,21 CFR 211.160(b)(4),"Calibration - at intervals, written program, remedial action",The calibration of instruments is not done at suitable intervals.
1127641,1219963,Twincraft Inc.,08/25/2020,Drugs,21 CFR 211.194(a)(7),Identification of Person Performing the Testing,Laboratory records are deficient in that they do not include the initials of the person performing the tests and the dates the tests were performed.
1127641,1219963,Twincraft Inc.,08/25/2020,Drugs,21 CFR 211.194(a)(8),Second person sign off,"Laboratory records do not include the initials or signature of a second person showing that the original records have been reviewed for accuracy, completeness and compliance with established standards."
1127651,3012377275,Crevel Distribution,08/25/2020,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1127682,3012320511,"GROWERS ARE US, LLC",08/25/2020,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1127682,3012320511,"GROWERS ARE US, LLC",08/25/2020,Foods,21 CFR 1.504(a),Hazard analysis written,You did not have a written hazard analysis to identify and evaluate known or reasonably foreseeable hazards to determine whether there are any hazards requiring a control.
1127715,2000034422,Tierra Farm Inc.,08/25/2020,Foods,21 CFR 117.80(a),Plant Operations - precautions,You did not take adequate precautions to ensure that production procedures did not contribute to allergen cross-contact and to contamination.
1127731,3010922218,"SW GFI, LLC dba Gourmet Foods International",08/25/2020,Foods,21 CFR 1.504(b)(1),"Hazard analysis biological, chemical, physical","Your hazard analysis did not include a known or reasonably foreseeable biological, chemical and physical hazard that requires a control."
1127731,3010922218,"SW GFI, LLC dba Gourmet Foods International",08/25/2020,Foods,21 CFR 1.505(b),Supplier approval - document,You did not document your approval of your foreign supplier.
1127731,3010922218,"SW GFI, LLC dba Gourmet Foods International",08/25/2020,Foods,21 CFR 1.506(b),Supplier verification - establish written procedures,You did not establish written procedures for ensuring that appropriate foreign supplier verification activities are conducted with respect to a food you import.
1127738,3000313482,Spartan Bros Inc,08/25/2020,Foods,21 CFR 1.512(b)(2),Develop FSVP,You did not develop an FSVP.
1127817,1000285572,"Kohyo America, Inc.",08/25/2020,Foods,21 CFR 1.505(b),Supplier approval - document,You did not document your approval of your foreign supplier.
1127817,1000285572,"Kohyo America, Inc.",08/25/2020,Foods,21 CFR 1.506(b),Supplier verification - establish written procedures,You did not establish written procedures for ensuring that appropriate foreign supplier verification activities are conducted with respect to a food you import.
1127824,2433282,"V. Cimino & Co., LLC.",08/25/2020,Foods,21 CFR 117.4,Training of employees and records,You did not train employees in the principles of food hygiene and food safety and have records documenting training of qualified individuals.
1127824,2433282,"V. Cimino & Co., LLC.",08/25/2020,Foods,21 CFR 123.6(b),HACCP plan implementation,You did not implement the monitoring procedures listed in your HACCP plan.
1127824,2433282,"V. Cimino & Co., LLC.",08/25/2020,Foods,21 CFR 123.12(a)(2),Importer verification,"You do not have or have not implemented written verification procedures, product specifications and an affirmative step for ensuring that fishery products you import are processed in compliance with the Seafood HACCP regulation."
1127564,3006185737,Calafia Growers Inc.,08/24/2020,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1127589,3010975320,Melissa Barrios CHB,08/24/2020,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1127594,3012369249,L&J NEVILLE ENTERPRISES LLC,08/24/2020,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1127671,3008407032,EVERHILLS FOODS INC,08/24/2020,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1127362,1000307833,Viking Village Inc.,08/21/2020,Foods,21 CFR 123.6(b),HACCP plan implementation,You did not implement the monitoring and verification procedures listed in your HACCP plan.
1127362,1000307833,Viking Village Inc.,08/21/2020,Foods,21 CFR 123.6(c)(3),Critical limits,Your HACCP plan lists a critical limit that does not ensure control of one or more hazards.
1127362,1000307833,Viking Village Inc.,08/21/2020,Foods,21 CFR 123.8(a)(3),Verification - record review - frequency,You did not review some of your critical control point monitoring records within one week after the records were made.
1127380,3007351784,Glanbia Nutritionals Inc,08/21/2020,Foods,21 CFR 117.80(a),Plant Operations - precautions,You did not conduct operations in accordance with adequate sanitation principles.
1127380,3007351784,Glanbia Nutritionals Inc,08/21/2020,Foods,21 CFR 117.130(a)(1),Hazard Analysis - Identification of Hazard,Your hazard analysis did not identify a known or reasonably foreseeable hazard that required a preventive control.
1127380,3007351784,Glanbia Nutritionals Inc,08/21/2020,Foods,21 CFR 117.135(a)(1),Preventive Controls -  Identify,You did not identify a preventive control for a hazard when one was needed.
1127383,3009094133,Sunhill Foods Inc.,08/21/2020,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1127399,3013155437,CALIFORNIA EXPORTS (USA) INC.,08/21/2020,Foods,21 CFR 1.512(b)(2),Develop FSVP,You did not develop an FSVP.
1127411,3012184815,"Coastal Fresh Farms, Inc.",08/21/2020,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1127302,2411826,"L. and S. Packing Co., Inc.",08/20/2020,Foods,21 CFR 114.80(b),Code - required elements,Each container is not marked with an identifying code specifying the product contained therein.
1127664,3011442744,C K Frozen Fish and Food Inc.,08/20/2020,Foods,21 CFR 123.12(a)(2),Importer verification,"You do not have or have not implemented written verification procedures, product specifications and an affirmative step for ensuring that fish you import are processed in compliance with the Seafood HACCP regulation."
1126894,3015937029,INNOVATION PET INC,08/19/2020,Foods,21 CFR 1.502(a),"Maintain, follow FSVP",You did not maintain an FSVP.
1126894,3015937029,INNOVATION PET INC,08/19/2020,Foods,21 CFR 1.504(a),Hazard analysis written,You did not have a written hazard analysis to identify and evaluate known or reasonably foreseeable hazards.
1127263,3014173047,"King Produce, LLC.",08/19/2020,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1127264,3009778297,Animal Snackers Petcetera,08/19/2020,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1127270,3009530388,Ravco Foods Inc,08/19/2020,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1127288,3012160776,International Fruit Company Inc.,08/19/2020,Foods,21 CFR 1.506(d)(1)(i),Verification activity frequency,You did not determine and document the frequency of the verification activities that were needed to provide adequate assurances that a food you obtain from a foreign supplier is produced in compliance with processes and procedures that provide the required level of public health protection.
1127307,1000470802,"Ronald A. Chisholm (U.S.A.), Inc.",08/19/2020,Foods,21 CFR 1.505(a)(2),"Evaluation - performance, risk",You did not document the evaluation you conducted to determine a foreign supplier's performance.
1127307,1000470802,"Ronald A. Chisholm (U.S.A.), Inc.",08/19/2020,Foods,21 CFR 1.505(b),Supplier approval - document,You did not document your approval of your foreign supplier.
1127307,1000470802,"Ronald A. Chisholm (U.S.A.), Inc.",08/19/2020,Foods,21 CFR 1.506(d)(1)(i),Verification activity assurance,You did not document which verification activity or activities were needed to provide adequate assurances that a food you obtain from a foreign supplier is produced in compliance with processes and procedures that provide the required level of public health protection.
1127162,3012280220,FRESH IMPORTS INTL LLC,08/18/2020,Foods,21 CFR 1.512(b)(2),Develop FSVP,You did not develop an FSVP.
1127179,3012606179,AZTECA MILLING,08/18/2020,Foods,21 CFR 1.512(b)(2),Develop FSVP,You did not develop an FSVP.
1127181,3014113749,"Cal Veg Farm, Inc.",08/18/2020,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1127192,3010877083,"Golden Agri-Resources USA, Inc.",08/18/2020,Foods,21 CFR 1.510(b)(3),Record - electronic,"You did not provide an FSVP record electronically, or through another means to deliver the record promptly to FDA, after FDA requested the record in writing."
1127194,3015839251,SELECT PRODUCE LLC,08/18/2020,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1129760,3012431159,HARIBO FOOD 2004 INC,08/18/2020,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1127061,3002847718,Agrosale Inc.,08/17/2020,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1127083,3012587838,"Klinghoffer Brothers, Inc.",08/17/2020,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1127293,3012261469,First Choice Importing Inc.,08/14/2020,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1127296,3010242902,Fresco Produce LLC,08/14/2020,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1126807,3012591508,Universal Yums LLC,08/13/2020,Foods,21 CFR 1.506(d)(1)(ii),Verification activity - appropriate,You did not conduct an appropriate supplier verification activity.
1126818,1713747,"Fresenius Medical Care, North America",08/13/2020,Drugs,21 CFR 211.100(a),Absence of Written Procedures,"There are no written procedures for production and process controls designed to assure that the drug products have the identity, strength, quality, and purity they purport or are represented to possess."
1126818,1713747,"Fresenius Medical Care, North America",08/13/2020,Drugs,21 CFR 211.192,"Investigations of discrepancies, failures",There is a failure to thoroughly review any unexplained discrepancy whether or not the batch has been already distributed.
1126838,3013059391,"RD Foods Americas, Inc",08/13/2020,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1126840,3010789224,Raw By Canines First,08/13/2020,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1126847,3006241154,PACIFIC EXCHANGE DISTRIBUTORS LLC,08/13/2020,Foods,21 CFR 1.505(a)(2),"Evaluation - performance, risk",You did not document the evaluation you conducted to determine a foreign supplier's performance.
1126847,3006241154,PACIFIC EXCHANGE DISTRIBUTORS LLC,08/13/2020,Foods,21 CFR 1.505(b),Supplier approval - document,You did not document your approval of your foreign supplier.
1127150,3014913058,J & B EUROPEAN DISTRIBUTION INC,08/13/2020,Foods,21 CFR 1.502(a),"Maintain, follow FSVP",You did not maintain an FSVP.
1126734,3013199019,DOMINICAN PRODUCT INC,08/12/2020,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1126758,3014315090,CAMPOMEX USA CORP,08/12/2020,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1126784,3015780166,SUPER SAL OF AMERICA LLC,08/12/2020,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1126649,1523176,"Ohio Hickory Harvest Brand Products, Inc.",08/11/2020,Foods,21 CFR 117.130(a)(1),Hazard Analysis - Identification of Hazard,Your hazard analysis did not identify a known or reasonably foreseeable hazard that required a preventive control.
1126649,1523176,"Ohio Hickory Harvest Brand Products, Inc.",08/11/2020,Foods,21 CFR 117.145(b),Allergen Controls - Monitoring Frequency,Your allergen controls monitoring frequency was not adequate.
1126683,3009324507,APNA FOODS IMPORTS CO,08/11/2020,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1126692,3015430472,"Sesamagic, LTD.",08/11/2020,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1126700,3014398140,"FELLA GROUP, LLC.",08/11/2020,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1126812,3002937563,"Apollo Greek Foods & Pastries, Inc. DBA DC Oriental Wholesaler",08/11/2020,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1126812,3002937563,"Apollo Greek Foods & Pastries, Inc. DBA DC Oriental Wholesaler",08/11/2020,Foods,21 CFR 1.504(a),Hazard analysis written,You did not have a written hazard analysis to identify and evaluate known or reasonably foreseeable hazards to determine whether there are any hazards requiring a control.
1126812,3002937563,"Apollo Greek Foods & Pastries, Inc. DBA DC Oriental Wholesaler",08/11/2020,Foods,21 CFR 1.505(a)(2),"Evaluation - performance, risk",You did not document the evaluation you conducted to determine the risk posed by a food.
1126521,3017140317,Independent Pet Partners,08/10/2020,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1126524,3013452733,COTTON ICE LLC DBA COTTON ICE,08/10/2020,Foods,21 CFR 1.504(d),Document review entity's hazard analysis,You did not document your review and assessment of a hazard analysis conducted by another entity.
1126524,3013452733,COTTON ICE LLC DBA COTTON ICE,08/10/2020,Foods,21 CFR 1.505(b),Supplier approval - document,You did not document your approval of your foreign supplier.
1126524,3013452733,COTTON ICE LLC DBA COTTON ICE,08/10/2020,Foods,21 CFR 1.506(a)(1),Unapproved supplier procedures - importer established,You did not establish written procedures for using an unapproved foreign supplier on a temporary basis.
1126698,3013433273,"AACE Pharmaceuticals, Inc.",08/10/2020,Drugs,21 CFR 211.65(a),Equipment construction - reactive surfaces,"Equipment surfaces that contact in-process materials and drug products are reactive, additive or absorptive so as to alter the safety, identity, strength, quality, or purity of the drug product beyond the official or other established requirements."
1126698,3013433273,"AACE Pharmaceuticals, Inc.",08/10/2020,Drugs,21 CFR 211.160(a),Following/documenting laboratory controls,Established laboratory control mechanisms are not documented at the time of performance.
1126698,3013433273,"AACE Pharmaceuticals, Inc.",08/10/2020,Drugs,21 CFR 211.194(a)(4),Complete Test Data,Laboratory records are deficient in that they do not include a complete record of all data obtained during testing.
1126274,3014151529,"Westfalia Fruit Marketing USA, LLC",08/07/2020,Foods,21 CFR 1.505(a)(2),"Evaluation - performance, risk",You did not document the evaluation you conducted to determine a foreign supplier's performance and the risk posed by a food.
1126274,3014151529,"Westfalia Fruit Marketing USA, LLC",08/07/2020,Foods,21 CFR 1.506(d)(1)(i),Verification activity assurance,You did not determine and document which verification activity or activities were needed to provide adequate assurances that a food you obtain from a foreign supplier is produced in compliance with processes and procedures that provide the required level of public health protection.
1126274,3014151529,"Westfalia Fruit Marketing USA, LLC",08/07/2020,Foods,21 CFR 1.506(d)(1)(i),Verification activity frequency,You did not determine and document the frequency of the verification activities that were needed to provide adequate assurances that a food you obtain from a foreign supplier is produced in compliance with processes and procedures that provide the required level of public health protection.
1127056,3002816388,Ridley Block Operations Inc,08/07/2020,Veterinary Medicine,21 CFR 507.34(a)(1),Preventive Controls,You did not identify and implement preventive controls to ensure that any hazards requiring a preventive control are significantly minimized or prevented.
1127056,3002816388,Ridley Block Operations Inc,08/07/2020,Foods,FDCA 417(d)(1)(A),Reportable food report - submission,You did not submit a reportable food report to FDA within 24 hours after you determined that a food was a reportable food.
1126247,3014310716,CEDAR TRADING INC,08/06/2020,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1126842,3003110574,Amazon Produce Network LLC,08/06/2020,Foods,21 CFR 1.506(a)(1),Unapproved supplier procedures - importer established,You did not establish written procedures for using an unapproved foreign supplier on a temporary basis.
1126842,3003110574,Amazon Produce Network LLC,08/06/2020,Foods,21 CFR 1.510(b)(1),Record - translate to English,You did not provide an English translation of an FSVP record that you maintained in a language other than English.
1127414,3005013963,Risingsun Iodine Products Corp.,08/06/2020,Foods,21 CFR 111.75(a)(2),"Appropriate tests, examinations; certificate of analysis",You did not conduct appropriate tests or examinations or rely on a certificate of analysis to determine whether components met established specifications.
1127414,3005013963,Risingsun Iodine Products Corp.,08/06/2020,Foods,21 CFR 111.75(a)(2),Component - confirm identity; specifications met,You did not confirm the identity of components.
1127414,3005013963,Risingsun Iodine Products Corp.,08/06/2020,Foods,21 CFR 111.210(g),"Packaging description, representative label","Your master manufacturing record did not include a representative label, or a cross-reference to the physical location of the actual or representative label."
1127414,3005013963,Risingsun Iodine Products Corp.,08/06/2020,Foods,21 CFR 111.255(c),Batch record - each step,"You did not perform each step in the production of a batch, according to the master production record."
1127414,3005013963,Risingsun Iodine Products Corp.,08/06/2020,Foods,21 CFR 111.260(k)(3),"Batch record - tests, examinations; results",Your batch production records did not include the results of any tests or examinations conducted on packaged and labeled dietary supplements or a cross-reference to the physical location of such results.
1127414,3005013963,Risingsun Iodine Products Corp.,08/06/2020,Foods,21 CFR 111.260(l)(3),"Batch record - approved, released, rejected; batch","Your batch production records did not include documentation that quality control personnel approved and released, or rejected, a batch for distribution."
1126162,3015057060,FOUR SEASONS GLOBAL TRADING LLC,08/05/2020,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1126190,3015280174,Lucky Taro Inc,08/05/2020,Foods,21 CFR 1.504(d),Document review entity's hazard analysis,You did not document your review and assessment of a hazard analysis conducted by another entity and that a hazard analysis conducted by another entity was conducted by a qualified individual.
1126190,3015280174,Lucky Taro Inc,08/05/2020,Foods,21 CFR 1.505(a)(2),"Evaluation - performance, risk",You did not document the evaluation you conducted to determine a foreign supplier's performance.
1126190,3015280174,Lucky Taro Inc,08/05/2020,Foods,21 CFR 1.505(b),Supplier approval - document,You did not document your approval of your foreign supplier.
1126190,3015280174,Lucky Taro Inc,08/05/2020,Foods,21 CFR 1.506(e)(3),"Verification activity review, assess",You did not promptly review and assess and document your review and assessment of the results of a verification activity that you conducted or obtained documentation of or that was conducted by another entity.
1127840,3003468370,"Praia Da Rocha Jr, Inc.",08/05/2020,Foods,21 CFR 123.6(b),No HACCP plan,You do not have a written HACCP plan that outlines controls for a food safety hazard that is reasonably likely to occur.
1126115,3006948582,Forma Mg Llc,08/04/2020,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1126121,3012421546,ULTIMATE TRADING,08/04/2020,Foods,21 CFR 1.504(b)(1),"Hazard analysis biological, chemical, physical",Your hazard analysis did not include a known or reasonably foreseeable biological hazard that requires a control.
1126236,3010011621,"Supermercados Selectos, Inc.",08/04/2020,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1126254,3013687788,HMV PRODUCE LLC,08/04/2020,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1125993,3012168648,MEX IMPORT EXPORT USA LLC,08/03/2020,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1126701,3010070450,RR & Tequila Limes LLC,08/03/2020,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1125792,3000209730,White Trading Corporation,07/31/2020,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1126006,3009211584,UCLA Biomedical Cyclotron,07/31/2020,Drugs,21 CFR 212.20(e),"Written QA procedures established, followed",You did not establish and follow written quality assurance procedures.
1126006,3009211584,UCLA Biomedical Cyclotron,07/31/2020,Drugs,21 CFR 212.30(b),Equipment procedures,"You did not implement procedures to ensure that all equipment is suitable for its intended purposes and properly installed, maintained, and capable of repeatedly producing valid results that could reasonably be expected to adversely affect the identity, strength, quality, or purity of a PET drug, or give erroneous or invalid test results when improperly used or maintained."
1126006,3009211584,UCLA Biomedical Cyclotron,07/31/2020,Drugs,21 CFR 212.40(a),"Written procedures for control of components, containers, and closures",You did not establish written procedures describing the identification and acceptance and/or rejection of components.
1126006,3009211584,UCLA Biomedical Cyclotron,07/31/2020,Drugs,21 CFR 212.60(c),Analytical methods,Your laboratory analytical methods are not suitable for their intended use and sufficiently reproducible.
1126006,3009211584,UCLA Biomedical Cyclotron,07/31/2020,Drugs,21 CFR 212.60(g),Test records complete (general),"Each laboratory used to perform tests related to the production of a PET drug did not keep complete records of all tests performed to ensure compliance with established specifications and standards, including examinations and assays."
1126006,3009211584,UCLA Biomedical Cyclotron,07/31/2020,Drugs,21 CFR 212.70(b),Before implementing new procedure establish and document accuracy etc.,"You implemented a new test procedure in a specification, but you did not first establish the accuracy, sensitivity, specificity and reproducibility of the procedure."
1126006,3009211584,UCLA Biomedical Cyclotron,07/31/2020,Drugs,21 CFR 212.110(c),Record retention period,"All records and documentation required to be kept for PET drug products are not maintained for a period of at least 1 year from the date of final release, including conditional final release."
1125708,3011145718,Di Bruno Bros,07/30/2020,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1125726,3004950110,Be-On Produce Inc.,07/30/2020,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1125644,3012557330,ZIA VALENTINA,07/29/2020,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1125662,3013499000,SUSQUEHANA RAWHIDE LLC,07/29/2020,Foods,21 CFR 1.512(b)(2),Develop FSVP,You did not develop an FSVP.
1125722,3004288806,Fine Foods Internatinal,07/29/2020,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1125733,3013854250,GREEN FOOD INGREDIENTS LLC,07/29/2020,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1125734,3015461940,ANCIENT BRANDS GRAIN TRADERS LLC,07/29/2020,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1125569,3012123314,"This and That Canine Company, Inc.",07/28/2020,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1125624,3013487834,WAG LLC,07/28/2020,Foods,21 CFR 1.512(b)(2),Develop FSVP,You did not develop an FSVP.
1125436,3005571835,Nacho Wholesale Produce,07/27/2020,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1125449,1694277,"Bay Valley Foods, Ltd.",07/27/2020,Part 11 Compliance,21 CFR 11,Electronic records,"Electronic records are used, but they do not meet systems validation, system access limitation, audit trail, operational system check, authority check, device check, personnel qualifications, employee accountability/responsibility policy, systems documentation control, open systems control, signature manifestation and signature to record linking requirements to ensure that they are trustworthy, reliable and generally equivalent to paper records."
1125449,1694277,"Bay Valley Foods, Ltd.",07/27/2020,Foods,21 CFR 114.89,Process deviation,"When a process operation deviated from the scheduled process or the equilibrium pH of the finished product was higher than 4.6, you did not fully reprocess the food by a process established by a competent processing authority as adequate to ensure a safe product; or thermally process the food as required for low-acid food; or set aside the food for further evaluation as to any potential public health significance."
1125449,1694277,"Bay Valley Foods, Ltd.",07/27/2020,Foods,21 CFR 117.80(c)(8),Process Control - Foreign Objects,You did not take an adequate measure to protect against inclusion of metal or extraneous material in food.
1125449,1694277,"Bay Valley Foods, Ltd.",07/27/2020,Foods,21 CFR 117.150(a)(1),Process Controls Corrective Action Proced: Estab Implement,You did not implement adequate written corrective action procedures for process controls.
1125449,1694277,"Bay Valley Foods, Ltd.",07/27/2020,Foods,21 CFR 117.165(b),Process Controls Verif Procedures: Establish Implement,You did not establish and implement adequate written process controls verification procedures.
1125449,1694277,"Bay Valley Foods, Ltd.",07/27/2020,Foods,21 CFR 117.415(a)(1),Supply-Chain Supplier Approval,You did not approve a supplier.
1125449,1694277,"Bay Valley Foods, Ltd.",07/27/2020,Foods,21 CFR 117.420(b),Supply-Chain Written Procedures for Receiving Raw Materials,"You did not establish, implement and document the use of written procedures for receiving raw materials and other ingredients."
1125538,3002806462,Bayer AG,07/27/2020,Drugs,21 CFR 211.67(b),Written procedures fail to include,"Written procedures for cleaning and maintenance fail to include description in sufficient detail of methods, equipment and materials used."
1125538,3002806462,Bayer AG,07/27/2020,Drugs,21 CFR 211.110(a),Control procedures to monitor and validate performance,Control procedures are not established which monitor the output and validate the performance of those manufacturing processes that may be responsible for causing variability in the characteristics of in-process material and the drug product.
1125538,3002806462,Bayer AG,07/27/2020,Drugs,21 CFR 211.130(a),"Prevention of cross contamination, mix-ups",There is insufficient physical or spatial separation from operations and other drug products to prevent mix-ups and cross-contamination.
1125538,3002806462,Bayer AG,07/27/2020,Drugs,21 CFR 211.160(b),Scientifically sound laboratory controls,"Laboratory controls do not include the establishment of scientifically sound and appropriate test procedures designed to assure that drug products conform to appropriate standards of identity, strength, quality and purity."
1125538,3002806462,Bayer AG,07/27/2020,Drugs,21 CFR 211.192,Written record of investigation incomplete,Written records of investigations into unexplained discrepancies do not always include the conclusions and follow-up.
1125589,2000033447,A Plus Vegetable Inc.,07/27/2020,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1125589,2000033447,A Plus Vegetable Inc.,07/27/2020,Foods,21 CFR 1.504(b)(1),"Hazard analysis biological, chemical, physical",Your hazard analysis did not include a known or reasonably foreseeable chemical and physical hazard that requires a control.
1125282,3011653512,Dareye Ethiopian Bakery,07/24/2020,Foods,21 CFR 1.512(b)(1)(i)(A),Definition very small importer,"You chose to comply with the requirements for a very small importer, but you did not document that you meet the definition of a very small importer annually each year after importing food as a very small importer."
1125282,3011653512,Dareye Ethiopian Bakery,07/24/2020,Foods,21 CFR 1.512(b)(3)(i),"Very small importer assurances, supplier","As a very small importer, you did not obtain written assurance, every 2 years after initially importing a food, that your foreign supplier produced the food in compliance with process and procedures that provide the required level of public health protection."
1125294,3005947301,UCSF Radiopharmaceutical Facility,07/24/2020,Drugs,21 CFR 212.20(c),Adverse effects of changes made,You did not demonstrate that any change does not adversely affect the quality of your PET drug.
1125294,3005947301,UCSF Radiopharmaceutical Facility,07/24/2020,Drugs,21 CFR 212.20(d),Determination need for investigation,"When errors occurred or a production batch or any component of the batch, failed to meet specifications, you did not determine the need for an investigation, conduct an investigation and take appropriate corrective actions when necessary."
1125294,3005947301,UCSF Radiopharmaceutical Facility,07/24/2020,Drugs,21 CFR 212.40(a),"Written procedures for control of components, containers, and closures","You did not establish written procedures describing the identification, testing and acceptance and/or rejection of components."
1125294,3005947301,UCSF Radiopharmaceutical Facility,07/24/2020,Drugs,21 CFR 212.50,Adequate controls (general),"Your firm lacks adequate production and process controls to ensure the consistent production of a PET drug that meets the applicable standards of identity, strength, quality and purity."
1125294,3005947301,UCSF Radiopharmaceutical Facility,07/24/2020,Drugs,21 CFR 212.60(b),Lab sampling and test procedures,"Each laboratory did not have testing procedures which are designed to ensure that conform to appropriate standards including established standards of identity, strength, quality and purity."
1125294,3005947301,UCSF Radiopharmaceutical Facility,07/24/2020,Drugs,21 CFR 212.61(a),Stability testing program,You did not follow a written testing program to assess the stability characteristics of your PET drug products.
1125294,3005947301,UCSF Radiopharmaceutical Facility,07/24/2020,Drugs,21 CFR 212.70(b),Before implementing new procedure establish and document accuracy etc.,"You implemented a new test procedure in a specification, but you did not first establish the accuracy, sensitivity, specificity and reproducibility of the procedure."
1125562,3010438475,Hyder Finer Foods,07/24/2020,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1125197,3014238784,"PEG PRODUCE, LLC",07/23/2020,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1125223,3013948510,"SPRING VALLEY PRODUCE, INC PRODU",07/23/2020,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1125256,3016544905,"Philip M. Bolton, M.D.",07/23/2020,Bioresearch Monitoring,21 CFR 312.60,"FD-1572, protocol compliance",An investigation was not conducted in accordance with the signed statement of investigator and investigational plan.
1125256,3016544905,"Philip M. Bolton, M.D.",07/23/2020,Bioresearch Monitoring,21 CFR 312.62(b),Case history records- inadequate or inadequate,Failure to prepare or maintain adequate and accurate case histories with respect to observations and data pertinent to the investigation.
1124985,3013659654,Smirks Ltd,07/22/2020,Foods,21 CFR 1.505(b),Supplier approval - document,You did not document your approval of your foreign supplier.
1124985,3013659654,Smirks Ltd,07/22/2020,Foods,21 CFR 1.506(b),Supplier verification - establish written procedures,You did not establish written procedures for ensuring that appropriate foreign supplier verification activities are conducted with respect to a food you import.
1125153,3014103512,Dole Fresh Fruit Company,07/22/2020,Foods,21 CFR 1.505(b),Supplier approval - document,You did not document your approval of your foreign supplier.
1125153,3014103512,Dole Fresh Fruit Company,07/22/2020,Foods,21 CFR 1.506(a)(1),Unapproved supplier procedures - importer established,You did not establish written procedures for using an unapproved foreign supplier on a temporary basis.
1125153,3014103512,Dole Fresh Fruit Company,07/22/2020,Foods,21 CFR 1.506(e)(2)(ii),Verification activity supplier employee,You relied on a foreign supplier verification activity that was conducted by the foreign supplier or its employee.
